id,name,docks,in_service,latitude,longitude,coordinate
57,Clinton St & Roosevelt Rd,15,yes,41.867117783,-87.641087959,"41.8671177825,-87.6410879593"
58,Elston Ave & Cortland St,23,yes,41.916433429,-87.666746378,"41.91643342912655,-87.66674637794495"
59,Wabash Ave & Roosevelt Rd,23,yes,41.867227,-87.625961,"41.867227,-87.625961"
60,Dayton St & North Ave,19,yes,41.910578035,-87.649421929,"41.9105780349,-87.6494219288"
61,Wood St & Milwaukee Ave,19,yes,41.907655,-87.672552,"41.907655,-87.672552"
62,McCormick Place,27,yes,41.851375173,-87.618834649,"41.8513751729,-87.6188346489"
66,Clinton St & Lake St,23,yes,41.885637,-87.641823,"41.885637,-87.641823"
67,Sheffield Ave & Fullerton Ave,27,yes,41.925601882,-87.653708042,"41.9256018819,-87.6537080423"
68,Clinton St & Tilden St,23,yes,41.875885,-87.640795,"41.875885,-87.640795"
69,Damen Ave & Pierce Ave,23,yes,41.909396007,-87.677691929,"41.9093960065,-87.6776919292"
71,Morgan St & Lake St,23,yes,41.885779252,-87.65102461,"41.88577925240433,-87.65102460980414"
72,Wabash Ave & 16th St,39,yes,41.860384,-87.625813,"41.860384,-87.625813"
73,Jefferson St & Monroe St,19,yes,41.880329634,-87.642745972,"41.880329633634624,-87.64274597167967"
74,Kingsbury St & Erie St,23,yes,41.893808056,-87.641697228,"41.89380805624359,-87.64169722795485"
75,Canal St & Jackson Blvd,43,yes,41.877245,-87.639366,"41.877245,-87.639366"
76,DuSable Lake Shore Dr & Monroe St,39,yes,41.880958,-87.616743,"41.880958,-87.616743"
77,Clinton St & Madison St,31,yes,41.882242,-87.641066,"41.882242,-87.641066"
80,Aberdeen St & Monroe St,19,yes,41.880419,-87.655519,"41.880419,-87.655519"
81,Daley Center Plaza,20,yes,41.884241,-87.629634,"41.884241,-87.629634"
84,Milwaukee Ave & Grand Ave,19,yes,41.891578,-87.648384,"41.891578,-87.648384"
85,Michigan Ave & Oak St,23,yes,41.90096039,-87.62377664,"41.90096039,-87.62377664"
86,Eckhart Park,19,yes,41.89637337,-87.66098386,"41.89637337,-87.66098386"
87,Racine Ave & Fullerton Ave,19,yes,41.92556258,-87.65840426,"41.92556258,-87.65840426"
88,Racine Ave & Randolph St,19,yes,41.884069,-87.656853,"41.884069,-87.656853"
89,Financial Pl & Ida B Wells Dr,31,yes,41.875023628,-87.633094043,"41.8750236280333,-87.6330940425396"
90,Millennium Park,47,yes,41.8810317,-87.62408432,"41.8810317,-87.62408432"
91,Clinton St & Washington Blvd,31,yes,41.88338,-87.64117,"41.88338,-87.64117"
92,Carpenter St & Huron St,19,yes,41.894556,-87.653449,"41.894556,-87.653449"
93,Sheffield Ave & Willow St,15,yes,41.913688,-87.652855,"41.913688,-87.652855"
94,Clark St & Armitage Ave,31,yes,41.918306,-87.636282,"41.918306,-87.636282"
95,Stony Island Ave & 64th St,11,yes,41.778881,-87.586647,"41.778881,-87.586647"
96,Desplaines St & Randolph St,23,yes,41.88461619,-87.644570585,"41.88461618962,-87.6445705849"
97,Field Museum,55,yes,41.865312,-87.617867,"41.865312,-87.617867"
98,LaSalle St & Washington St,15,yes,41.882664,-87.63253,"41.882664,-87.63253"
99,McClurg Ct & Ohio St,19,yes,41.89259212,-87.617289126,"41.892592119709725,-87.61728912591934"
100,Orleans St & Merchandise Mart Plaza,35,yes,41.888243,-87.63639,"41.888243,-87.63639"
101,63rd St Beach,15,yes,41.780910964,-87.576323748,"41.78091096424803,-87.57632374763489"
102,Stony Island Ave & 67th St,11,yes,41.773458499,-87.585339739,"41.77345849948,-87.5853397391"
103,Clinton St & Polk St,15,yes,41.871466518,-87.640949133,"41.87146651779,-87.6409491327"
106,State St & Pearson St,27,yes,41.897448,-87.628722,"41.897448,-87.628722"
107,Desplaines St & Jackson Blvd,27,yes,41.878118901,-87.643947601,"41.87811890091227,-87.64394760131836"
108,Halsted St & Polk St,19,yes,41.87184,-87.64664,"41.87184,-87.64664"
109,900 W Harrison St,19,yes,41.874754,-87.649807,"41.874754,-87.649807"
110,Dearborn St & Erie St,27,yes,41.893992,-87.629318,"41.893992,-87.629318"
111,Sedgwick St & Huron St,27,yes,41.894666,-87.638437,"41.894666,-87.638437"
112,Green St & Randolph St,11,yes,41.883181306,-87.648724616,"41.88318130597391,-87.64872461557388"
113,Bissell St & Armitage Ave,15,yes,41.918018142,-87.652181983,"41.91801814237187,-87.65218198299408"
114,Sheffield Ave & Waveland Ave,27,yes,41.949399,-87.654529,"41.949399,-87.654529"
115,Sheffield Ave & Wellington Ave,23,yes,41.936253483,-87.652662098,"41.9362534831413,-87.65266209840775"
116,Western Ave & Winnebago Ave,15,yes,41.91552,-87.687022,"41.91552,-87.687022"
117,Wilton Ave & Belmont Ave,27,yes,41.94018,-87.65304,"41.94018,-87.65304"
118,Sedgwick St & North Ave,19,yes,41.911386,-87.638677,"41.911386,-87.638677"
119,Ashland Ave & Lake St,19,yes,41.88592,-87.66717,"41.88592,-87.66717"
120,Wentworth Ave & Cermak Rd,19,yes,41.853084557,-87.631931305,"41.85308455741279,-87.63193130493164"
121,Blackstone Ave & Hyde Park Blvd,19,yes,41.802562,-87.590368,"41.802562,-87.590368"
122,Ogden Ave & Congress Pkwy,15,yes,41.87501,-87.67328,"41.87501,-87.67328"
123,California Ave & Milwaukee Ave,15,yes,41.922695,-87.697153,"41.922695,-87.697153"
124,Damen Ave & Cullerton St,15,yes,41.854966519,-87.675699592,"41.854966518753926,-87.67569959163664"
125,Rush St & Hubbard St,23,yes,41.890173,-87.626185,"41.890173,-87.626185"
126,Clark St & North Ave,15,yes,41.911974,-87.631942,"41.911974,-87.631942"
127,Lincoln Ave & Fullerton Ave,15,yes,41.924161029,-87.646380365,"41.924161029067626,-87.64638036489487"
128,Damen Ave & Chicago Ave,19,yes,41.895769,-87.67722,"41.895769,-87.67722"
129,Blue Island Ave & 18th St,15,yes,41.857556,-87.661535,"41.857556,-87.661535"
130,Damen Ave & Division St,19,yes,41.903266,-87.678435,"41.903266,-87.678435"
131,Lincoln Ave & Belmont Ave,15,yes,41.939365,-87.668385,"41.939365,-87.668385"
132,Wentworth Ave & 24th St Temp,15,yes,41.850083693,-87.632140517,"41.85008369347577,-87.6321405172348"
133,Kingsbury St & Kinzie St,31,yes,41.889176833,-87.638505772,"41.88917683258,-87.6385057718"
134,Peoria St & Jackson Blvd,19,yes,41.877641596,-87.649617791,"41.8776415962753,-87.64961779117584"
135,Halsted St & 21st St,11,yes,41.853779811,-87.646602988,"41.85377981072743,-87.6466029882431"
136,Racine Ave & 13th St,15,yes,41.865054,-87.656959,"41.865054,-87.656959"
137,Morgan Ave & 14th Pl,15,yes,41.862378,-87.651062,"41.862378,-87.651062"
138,Clybourn Ave & Division St,15,yes,41.904613,-87.640552,"41.904613,-87.640552"
140,Dearborn Pkwy & Delaware Pl,19,yes,41.898969,-87.629912,"41.898969,-87.629912"
141,Clark St & Lincoln Ave,23,yes,41.915689,-87.6346,"41.915689,-87.6346"
142,McClurg Ct & Erie St,31,yes,41.894503,-87.617854,"41.894503,-87.617854"
143,Sedgwick St & Webster Ave,15,yes,41.922167,-87.638888,"41.922167,-87.638888"
144,Larrabee St & Webster Ave,19,yes,41.921822,-87.64414,"41.921822,-87.64414"
145,Mies van der Rohe Way & Chestnut St,19,yes,41.898586651,-87.621915226,"41.8985866514,-87.6219152258"
146,Loomis St & Jackson Blvd,19,yes,41.877945,-87.662007,"41.877945,-87.662007"
147,Indiana Ave & 26th St,15,yes,41.845687,-87.622481,"41.845687,-87.622481"
148,State St & 33rd St,15,yes,41.834734,-87.625813,"41.834734,-87.625813"
149,Calumet Ave & 33rd St,11,yes,41.8349,-87.61793,"41.8349,-87.61793"
150,Fort Dearborn Dr & 31st St,27,yes,41.838556,-87.608218,"41.838556,-87.608218"
152,Lincoln Ave & Diversey Pkwy,15,yes,41.932225,-87.658617,"41.932225,-87.658617"
153,Southport Ave & Wellington Ave,19,yes,41.935733,-87.663576,"41.935733,-87.663576"
154,Southport Ave & Belmont Ave,15,yes,41.93947775,-87.663747668,"41.93947775040509,-87.6637476682663"
156,Clark St & Wellington Ave,15,yes,41.936496822,-87.647538658,"41.9364968219,-87.6475386582"
157,DuSable Lake Shore Dr & Wellington Ave,15,yes,41.936688449,-87.636829019,"41.9366884494997,-87.63682901859283"
158,Milwaukee Ave & Wabansia Ave,15,yes,41.912616,-87.681391,"41.912616,-87.681391"
159,Claremont Ave & Hirsch St,11,yes,41.907781,-87.685854,"41.907781,-87.685854"
160,Campbell Ave & North Ave,15,yes,41.910535,-87.689556,"41.910535,-87.689556"
161,Rush St & Superior St,23,yes,41.895764746,-87.625908033,"41.89576474564,-87.6259080327"
162,Damen Ave & Wellington Ave,15,yes,41.93588,-87.67842,"41.93588,-87.67842"
163,Damen Ave & Clybourn Ave,15,yes,41.931931,-87.677856,"41.931931,-87.677856"
164,Franklin St & Lake St,27,yes,41.885837,-87.6355,"41.885837,-87.6355"
165,Clark St & Grace St,23,yes,41.95078,-87.659172,"41.95078,-87.659172"
166,Ashland Ave & Wrightwood Ave,15,yes,41.92883,-87.668507,"41.92883,-87.668507"
167,Damen Ave & Coulter St,7,yes,41.8492,-87.67564,"41.8492,-87.67564"
168,Michigan Ave & 14th St,19,yes,41.864059,-87.623727,"41.864059,-87.623727"
169,Canal St & Harrison St,15,yes,41.874255,-87.639573,"41.874255,-87.639573"
170,Clinton St & 18th St,15,yes,41.85795,-87.640826,"41.85795,-87.640826"
171,May St & Cullerton St,11,yes,41.855136,-87.654127,"41.855136,-87.654127"
172,Rush St & Cedar St,11,yes,41.902308701,-87.627690528,"41.90230870122,-87.627690528"
173,Mies van der Rohe Way & Chicago Ave,15,yes,41.896944626,-87.621757686,"41.896944626370825,-87.62175768613815"
174,Canal St & Madison St,35,yes,41.882091,-87.639833,"41.882091,-87.639833"
175,Wells St & Polk St,19,yes,41.872731542,-87.63351649,"41.872731542263075,-87.63351649045944"
176,Clark St & Elm St,39,yes,41.902973,-87.63128,"41.902973,-87.63128"
177,Theater on the Lake,31,yes,41.926277,-87.630834,"41.926277,-87.630834"
178,State St & 19th St,15,yes,41.856594,-87.627542,"41.856594,-87.627542"
179,MLK Jr Dr & Pershing Rd,15,yes,41.8246,-87.61678,"41.8246,-87.61678"
180,Ritchie Ct & Banks St,15,yes,41.906866,-87.626217,"41.906866,-87.626217"
181,LaSalle St & Illinois St,31,yes,41.890762,-87.631697,"41.890762,-87.631697"
182,Wells St & Elm St,23,yes,41.903222,-87.634324,"41.903222,-87.634324"
183,Damen Ave & Thomas St Augusta Blvd,23,yes,41.901315,-87.677409,"41.901315,-87.677409"
184,State St & 35th St,19,yes,41.831036314,-87.626797557,"41.8310363140161,-87.62679755687714"
185,Stave St & Armitage Ave,11,yes,41.917741,-87.691392,"41.917741,-87.691392"
186,Ogden Ave & Race Ave,15,yes,41.891795,-87.658751,"41.891795,-87.658751"
188,Greenview Ave & Fullerton Ave,15,yes,41.92533,-87.6658,"41.92533,-87.6658"
190,Southport Ave & Wrightwood Ave,15,yes,41.928773,-87.663913,"41.928773,-87.663913"
191,Canal St & Monroe St,27,yes,41.88169,-87.63953,"41.88169,-87.63953"
192,Canal St & Adams St,47,yes,41.879255,-87.639904,"41.879255,-87.639904"
193,State St & 29th St,11,yes,41.841707,-87.626938,"41.841707,-87.626938"
194,Wabash Ave & Wacker Pl,19,yes,41.886875,-87.62603,"41.886875,-87.62603"
195,Columbus Dr & Randolph St,55,yes,41.884728,-87.619521,"41.884728,-87.619521"
196,Cityfront Plaza Dr & Pioneer Ct,31,yes,41.890573,-87.622072,"41.890573,-87.622072"
197,Michigan Ave & Madison St,19,yes,41.882134,-87.625125,"41.882134,-87.625125"
198,Green St & Madison St,27,yes,41.881892,-87.648789,"41.881892,-87.648789"
199,Wabash Ave & Grand Ave,31,yes,41.891466,-87.626761,"41.891466,-87.626761"
200,MLK Jr Dr & 47th St,11,yes,41.809851,-87.616279,"41.809851,-87.616279"
201,Indiana Ave & 40th St,11,yes,41.82168,-87.6216,"41.82168,-87.6216"
202,Halsted St & 18th St,15,yes,41.85750568,-87.645991445,"41.85750568031716,-87.64599144458771"
203,Western Ave & 21st St,15,yes,41.854109,-87.685838,"41.854109,-87.685838"
204,Prairie Ave & Garfield Blvd,11,yes,41.794853,-87.618691,"41.794853,-87.618691"
205,Paulina St & 18th St,15,yes,41.857901,-87.668745,"41.857901,-87.668745"
206,Halsted St & Archer Ave,15,yes,41.847203,-87.646795,"41.847203,-87.646795"
207,Emerald Ave & 28th St,15,yes,41.84358,-87.645368,"41.84358,-87.645368"
208,Laflin St & Cullerton St,15,yes,41.854914576,-87.663559914,"41.85491457576575,-87.66355991363525"
209,Normal Ave & Archer Ave,11,yes,41.849527,-87.640591,"41.849527,-87.640591"
210,Ashland Ave & Division St,27,yes,41.90345,-87.667747,"41.90345,-87.667747"
211,St. Clair St & Erie St,19,yes,41.894345137,-87.622798383,"41.89434513742426,-87.62279838323593"
212,Wells St & Hubbard St,31,yes,41.889906,-87.634266,"41.889906,-87.634266"
213,Leavitt St & North Ave,15,yes,41.910509367,-87.682389021,"41.91050936666395,-87.6823890209198"
214,Damen Ave & Grand Ave,23,yes,41.892394453,-87.676885128,"41.892394452962705,-87.67688512802124"
215,Damen Ave & Madison St,15,yes,41.88137,-87.67493,"41.88137,-87.67493"
216,California Ave & Division St,15,yes,41.903029,-87.697474,"41.903029,-87.697474"
217,Elizabeth May St & Fulton St,15,yes,41.886616486,-87.658039927,"41.886616486027656,-87.6580399274826"
218,Wells St & 19th St,11,yes,41.856802,-87.633879,"41.856802,-87.633879"
219,Damen Ave & Cortland St,19,yes,41.915983,-87.677335,"41.915983,-87.677335"
220,Clark St & Drummond Pl,23,yes,41.931248,-87.644336,"41.931248,-87.644336"
222,Milwaukee Ave & Rockwell St,19,yes,41.920195562,-87.692659199,"41.92019556200566,-87.69265919923781"
223,Clifton Ave & Armitage Ave,15,yes,41.918216,-87.656936,"41.918216,-87.656936"
224,Halsted St & Willow St,19,yes,41.913865,-87.648755,"41.913865,-87.648755"
225,Halsted St & Dickens Ave,23,yes,41.919936,-87.64883,"41.919936,-87.64883"
226,Racine Ave & Belmont Ave,15,yes,41.939743,-87.658865,"41.939743,-87.658865"
227,Southport Ave & Waveland Ave,23,yes,41.94815,-87.66394,"41.94815,-87.66394"
228,Damen Ave & Melrose Ave,15,yes,41.9406,-87.6785,"41.9406,-87.6785"
229,Southport Ave & Roscoe St,19,yes,41.943739,-87.66402,"41.943739,-87.66402"
230,Lincoln Ave & Roscoe St,19,yes,41.943785165,-87.671251148,"41.943785164970734,-87.67125114798546"
231,Sheridan Rd & Montrose Ave,23,yes,41.96167,-87.65464,"41.96167,-87.65464"
232,Pine Grove Ave & Waveland Ave,23,yes,41.949472741,-87.646452785,"41.94947274088333,-87.64645278453827"
233,Sangamon St & Washington Blvd,15,yes,41.883165,-87.6511,"41.883165,-87.6511"
234,Clark St & Montrose Ave,19,yes,41.961588,-87.666036,"41.961588,-87.666036"
236,Sedgwick St & Schiller St,15,yes,41.907626,-87.638566,"41.907626,-87.638566"
237,MLK Jr Dr & 29th St,19,yes,41.842052,-87.617,"41.842052,-87.617"
238,Wolcott Ravenswood Ave & Montrose Ave,15,yes,41.961406,-87.676169,"41.961406,-87.676169"
239,Western Ave & Leland Ave,19,yes,41.966399802,-87.688704282,"41.966399801840986,-87.68870428204536"
240,Sheridan Rd & Irving Park Rd,27,yes,41.954245,-87.654406,"41.954245,-87.654406"
241,Morgan St & Polk St,19,yes,41.871737,-87.65103,"41.871737,-87.65103"
242,Damen Ave & Leland Ave,15,yes,41.967094,-87.679028,"41.967094,-87.679028"
243,Lincoln Ave & Sunnyside Ave,15,yes,41.963004,-87.684781,"41.963004,-87.684781"
244,Ravenswood Ave & Irving Park Rd,19,yes,41.95469,-87.67393,"41.95469,-87.67393"
245,Clarendon Ave & Junior Ter,23,yes,41.961004,-87.649603,"41.961004,-87.649603"
246,Ashland Ave & Belle Plaine Ave,11,yes,41.956057,-87.668835,"41.956057,-87.668835"
247,Shore Dr & 55th St,19,yes,41.795212,-87.580715,"41.795212,-87.580715"
248,Woodlawn Ave & 55th St,19,yes,41.795264,-87.596471,"41.795264,-87.596471"
249,Montrose Harbor,31,yes,41.963982,-87.638181,"41.963982,-87.638181"
250,Ashland Ave & Wellington Ave,19,yes,41.936083,-87.669807,"41.936083,-87.669807"
251,Clarendon Ave & Leland Ave,15,yes,41.967968,-87.650001,"41.967968,-87.650001"
252,Greenwood Ave & 47th St,15,yes,41.809835,-87.599383,"41.809835,-87.599383"
253,Winthrop Ave & Lawrence Ave,15,yes,41.968812,-87.657659,"41.968812,-87.657659"
254,Pine Grove Ave & Irving Park Rd,15,yes,41.954383,-87.648043,"41.954383,-87.648043"
255,Indiana Ave & Roosevelt Rd,39,yes,41.867888,-87.623041,"41.867888,-87.623041"
256,Broadway & Sheridan Rd,15,yes,41.952833,-87.649993,"41.952833,-87.649993"
257,Lincoln Ave & Waveland Ave,15,yes,41.948797,-87.675278,"41.948797,-87.675278"
258,Logan Blvd & Elston Ave,27,yes,41.929465,-87.684158,"41.929465,-87.684158"
259,California Ave & Francis Pl Temp,15,No,41.918491154,-87.697422802,"41.91849115368695,-87.69742280244827"
260,Kedzie Ave & Milwaukee Ave,35,yes,41.929567,-87.707857,"41.929567,-87.707857"
261,Hermitage Ave & Polk St,15,yes,41.871514,-87.669886,"41.871514,-87.669886"
262,Halsted St & 37th St,11,yes,41.827059,-87.64572,"41.827059,-87.64572"
263,Rhodes Ave & 32nd St,11,yes,41.836208,-87.613533,"41.836208,-87.613533"
264,Stetson Ave & South Water St,19,yes,41.886835,-87.62232,"41.886835,-87.62232"
265,Cottage Grove Ave & Oakwood Blvd,15,yes,41.822985,-87.6071,"41.822985,-87.6071"
267,Lake Park Ave & 47th St,15,yes,41.809443,-87.591875,"41.809443,-87.591875"
268,DuSable Lake Shore Dr & North Blvd,39,yes,41.911722,-87.626804,"41.911722,-87.626804"
270,Stony Island Ave & 75th St,11,yes,41.75866967,-87.586882871,"41.7586696704,-87.586882871"
271,Cottage Grove Ave & 43rd St,11,yes,41.816499,-87.606582,"41.816499,-87.606582"
272,Indiana Ave & 31st St,11,yes,41.838842,-87.621857,"41.838842,-87.621857"
273,Michigan Ave & 18th St,23,yes,41.857813,-87.62455,"41.857813,-87.62455"
274,Racine Ave & 15th St,15,yes,41.861267,-87.656625,"41.861267,-87.656625"
275,Ashland Ave & 13th St,15,yes,41.865234,-87.666507,"41.865234,-87.666507"
276,California Ave & North Ave,11,yes,41.9104754,-87.6968944,"41.9104754,-87.6968944"
277,Ashland Ave & Grand Ave,15,yes,41.891072,-87.666611,"41.891072,-87.666611"
278,Wallace St & 35th St,15,yes,41.830707051,-87.641255334,"41.830707051440854,-87.64125533401966"
279,Halsted St & 35th St,15,yes,41.830661,-87.647172,"41.830661,-87.647172"
280,Morgan St & 31st St,11,yes,41.8378,-87.65114,"41.8378,-87.65114"
281,Western Ave & 24th St,7,yes,41.84847,-87.685109,"41.84847,-87.685109"
282,Halsted St & Maxwell St,15,yes,41.864883,-87.647071,"41.864883,-87.647071"
283,LaSalle St & Jackson Blvd,35,yes,41.878166,-87.631929,"41.878166,-87.631929"
284,Michigan Ave & Jackson Blvd,23,yes,41.87785,-87.62408,"41.87785,-87.62408"
285,Wood St & Hubbard St,19,yes,41.889899,-87.671473,"41.889899,-87.671473"
286,Franklin St & Adams St Temp,15,yes,41.879434091,-87.635504007,"41.87943409140013,-87.63550400733948"
287,Franklin St & Monroe St,31,yes,41.880317,-87.635185,"41.880317,-87.635185"
288,Larrabee St & Armitage Ave,15,yes,41.918084,-87.643749,"41.918084,-87.643749"
289,Wells St & Concord Ln,19,yes,41.912133,-87.634656,"41.912133,-87.634656"
290,Kedzie Ave & Palmer Ct,15,yes,41.921525,-87.707322,"41.921525,-87.707322"
291,Wells St & Evergreen Ave,19,yes,41.906724,-87.63483,"41.906724,-87.63483"
292,Southport Ave & Clark St,11,yes,41.957081,-87.664199,"41.957081,-87.664199"
293,Broadway & Wilson - Truman College Vaccination Site,23,yes,41.965221,-87.658139,"41.965221,-87.658139"
294,Broadway & Berwyn Ave,15,yes,41.978353,-87.659753,"41.978353,-87.659753"
295,Broadway & Argyle St,19,yes,41.973815,-87.65966,"41.973815,-87.65966"
296,Broadway & Belmont Ave,19,yes,41.940106,-87.645451,"41.940106,-87.645451"
297,Paulina St & Montrose Ave,15,yes,41.961507,-87.671387,"41.961507,-87.671387"
298,Lincoln Ave & Belle Plaine Ave,15,yes,41.956003551,-87.680161446,"41.95600355078549,-87.68016144633293"
299,Halsted St & Roscoe St,15,yes,41.94367,-87.64895,"41.94367,-87.64895"
300,Broadway & Barry Ave,19,yes,41.937582316,-87.644097805,"41.93758231600629,-87.6440978050232"
301,Clark St & Schiller St,19,yes,41.907993,-87.631501,"41.907993,-87.631501"
302,Sheffield Ave & Wrightwood Ave,31,yes,41.928712,-87.653833,"41.928712,-87.653833"
303,Broadway & Cornelia Ave,23,yes,41.945529,-87.646439,"41.945529,-87.646439"
304,Broadway & Waveland Ave,15,yes,41.949074,-87.648636,"41.949074,-87.648636"
305,Western Ave & Division St,23,yes,41.902893,-87.687275,"41.902893,-87.687275"
306,Sheridan Rd & Buena Ave,19,yes,41.958494,-87.654966,"41.958494,-87.654966"
307,Southport Ave & Clybourn Ave,15,yes,41.920771,-87.663712,"41.920771,-87.663712"
308,Seeley Ave & Roscoe St,11,yes,41.943403,-87.679618,"41.943403,-87.679618"
309,Leavitt St & Armitage Ave,11,yes,41.917805,-87.682437,"41.917805,-87.682437"
310,Damen Ave & Charleston St,11,yes,41.920082,-87.677855,"41.920082,-87.677855"
311,Leavitt St & Lawrence Ave,19,yes,41.968885,-87.684001,"41.968885,-87.684001"
312,Clarendon Ave & Gordon Ter,15,yes,41.957866524,-87.649505138,"41.95786652415174,-87.64950513839722"
313,Lakeview Ave & Fullerton Pkwy,19,yes,41.925858,-87.638973,"41.925858,-87.638973"
314,Ravenswood Ave & Berteau Ave,15,yes,41.957921,-87.673567,"41.957921,-87.673567"
315,Elston Ave & Wabansia Ave,23,yes,41.912919,-87.664169,"41.912919,-87.664169"
316,Damen Ave & Sunnyside Ave,19,yes,41.96325,-87.679258,"41.96325,-87.679258"
317,Wood St & Taylor St Temp,23,yes,41.869265218,-87.67373085,"41.869265218438194,-87.67373085021973"
318,Southport Ave & Irving Park Rd,15,yes,41.954177,-87.664358,"41.954177,-87.664358"
319,Greenview Ave & Diversey Pkwy,15,yes,41.932589634,-87.665936351,"41.93258963429789,-87.66593635082245"
